LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_SEP,PAY_AUG,PAY_JUL,PAY_JUN,PAY_MAY,PAY_APR,PAY_AMT_SEP,PAY_AMT_AUG,PAY_AMT_JUL,PAY_AMT_JUN,PAY_AMT_MAY,PAY_AMT_APR,default payment next month,BILL_AMT
50000,1,2,2,33,2,0,0,0,0,0,1718,1500,1000,1000,1000,716,1,25311.5
100000,1,1,2,32,0,0,0,0,0,0,3023,3511,3302,3204,3200,2504,0,82539.5
500000,2,2,1,54,-2,-2,-2,-2,-2,-2,4152,22827,7521,71439,981,51582,0,20957.333333333332
500000,1,1,1,58,-2,-2,-2,-2,-2,-2,5006,31178,3180,0,5293,768,0,9719.666666666666
160000,1,1,2,30,-1,-1,-2,-2,-2,-1,131,396,396,565,792,0,0,4218.666666666667
280000,1,2,1,40,0,0,0,0,0,0,8026,8060,6300,6400,6400,6737,0,178329.5
60000,2,2,2,22,0,0,0,0,0,-1,1500,1518,2043,0,47671,617,0,5379.833333333333
50000,1,1,2,25,1,-1,-1,-2,-2,-2,780,0,0,0,0,0,1,130.0
280000,1,1,2,31,-1,-1,2,-1,0,-1,9075,0,9976,8000,9525,781,0,8607.166666666666
360000,1,1,2,33,0,0,0,0,0,0,10000,7000,6000,188840,28000,4000,0,275125.1666666667
70000,2,1,2,25,0,0,0,0,0,0,3000,4500,4042,2500,2800,2500,0,65476.0
10000,1,2,2,22,0,0,0,0,0,0,1500,2927,1000,300,1000,500,0,3793.5
140000,2,2,1,37,0,0,0,0,0,0,3000,3000,3000,4000,4000,3000,0,64189.0
40000,2,1,2,30,0,0,0,2,0,0,3000,5000,0,2000,3000,0,0,24530.833333333332
210000,1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,1,0.0
20000,2,1,2,22,0,0,2,-1,0,0,3000,0,16741,334,0,0,1,13221.333333333334
150000,2,5,2,46,0,0,-1,0,0,-2,1013,1170,0,0,0,0,1,1639.5
380000,1,2,2,32,-1,-1,-1,-1,-1,-1,21540,15138,24677,11851,11875,8251,0,19135.833333333332
20000,1,1,2,24,0,0,0,0,0,0,1318,1315,704,928,912,1069,0,19301.666666666668
70000,1,3,2,42,1,2,2,2,2,0,0,3100,2000,0,1500,1500,1,38168.666666666664
100000,2,3,3,43,0,0,0,0,0,0,2000,1606,1500,2000,1500,1000,0,44197.5
310000,2,2,1,49,-2,-2,-2,-2,-2,-2,7875,7600,11185,3544,464,0,0,7354.166666666667
180000,2,1,2,25,1,2,0,0,0,0,1300,2010,1762,1762,1790,1622,0,43191.833333333336
150000,2,1,2,29,2,0,0,0,0,0,1600,1718,1049,1500,2000,5000,0,29458.5
500000,2,1,1,45,-2,-2,-2,-2,-2,-2,3640,162,0,151,2530,0,0,1398.0
180000,2,3,1,34,0,0,0,-1,-1,-1,8500,1500,7500,679,9000,2000,0,9234.0
180000,2,2,1,34,0,0,0,0,0,0,8083,7296,5253,4814,4816,3800,0,158727.0
200000,2,1,2,34,-1,3,2,2,2,2,0,0,700,0,1200,0,0,1124.5
400000,2,2,1,29,0,0,0,0,0,0,17000,15029,30000,12000,12000,23000,0,380690.0
500000,2,3,1,28,0,0,0,0,0,0,1516,1300,1000,1000,2000,2000,1,18283.166666666668
70000,1,2,1,39,0,0,0,0,0,-1,4025,2095,1000,2000,3000,0,0,40707.0
50000,1,1,2,29,2,2,2,2,2,2,0,2700,0,2225,1200,0,1,26279.0
50000,2,2,1,46,0,0,0,-2,-2,-2,1000,0,0,0,0,0,1,9647.333333333334
130000,2,2,1,51,-1,-1,-2,-2,-1,-1,0,0,0,2353,0,0,0,408.6666666666667
200000,1,1,1,57,-2,-2,-2,-1,2,2,0,0,8222,300,0,1000,1,78272.66666666667
10000,1,2,1,56,2,2,2,0,0,0,2300,0,150,200,200,160,1,3808.6666666666665
210000,2,1,2,30,2,-1,-1,-1,-1,-1,300,1159,2280,300,4250,909,0,1431.5
130000,2,3,2,29,1,-2,-2,-1,2,-1,0,0,20161,0,7319,13899,0,1316.8333333333333
20000,1,5,2,22,2,0,0,0,0,0,0,1200,1000,500,1000,0,0,14721.0
80000,1,1,2,31,-1,-1,-1,-1,-1,-1,0,390,390,390,390,390,0,390.0
320000,1,2,2,29,2,2,2,2,2,2,2500,2500,0,4800,2400,1600,1,60358.666666666664
200000,2,2,1,32,-1,-1,-1,-1,2,-1,5818,15,9102,17,3165,1395,0,4404.166666666667
290000,2,1,2,37,1,-2,-1,-1,-1,-1,0,3155,0,2359,0,0,0,919.0
340000,1,1,2,32,-1,-1,-1,-1,-1,-1,5713,23453,4314,80552,25949,2016,0,23699.833333333332
20000,1,2,2,24,0,0,2,0,0,0,2850,0,610,630,1500,0,0,16888.0
50000,1,3,2,25,-1,0,0,0,0,0,1759,1779,320,500,1000,1000,0,24234.333333333332
300000,2,1,1,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,0,291.0
30000,2,2,2,22,0,0,0,0,0,0,1686,1400,560,3000,1765,0,1,24864.333333333332
240000,2,2,2,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,1,0.0
470000,2,3,3,33,0,0,0,0,0,0,6400,7566,3000,960,1000,3000,0,102470.5
360000,2,1,2,26,0,0,0,0,0,-1,4796,3400,3100,146900,196,2963,0,49150.5
60000,1,3,2,30,0,0,0,0,0,0,1576,1213,648,768,1140,0,1,23927.666666666668
400000,2,2,1,44,0,0,2,0,0,0,10700,3,3050,3000,3200,2800,0,116825.33333333333
50000,2,3,2,49,0,0,0,0,0,0,1676,1302,700,699,849,826,0,29583.166666666668
160000,1,2,2,33,0,0,0,0,0,0,4400,3547,80000,4500,4800,4500,0,111168.83333333333
360000,2,1,1,45,-1,-1,2,0,-1,-1,1170,0,0,390,390,390,1,585.0
160000,2,2,2,32,0,0,0,0,0,-1,1147,2000,2000,0,766,2303,0,5270.5
130000,2,1,1,35,0,0,0,-1,-1,-1,40000,5000,1330,7095,1190,2090,0,37755.666666666664
20000,1,3,2,44,2,2,0,0,0,2,0,1651,1000,2000,0,1500,0,10218.166666666666
200000,1,1,1,53,2,2,2,2,2,2,6300,5500,5500,5500,5000,5000,1,143694.5
280000,2,1,2,39,-1,-1,-1,0,0,-2,0,3968,0,0,0,0,0,2560.0
100000,2,1,2,27,-2,-2,-2,-2,-2,-2,7555,0,0,0,0,0,0,592.5
160000,2,2,1,37,-1,-1,-1,-1,-1,-2,1602,840,840,0,0,7736,0,693.6666666666666
60000,2,2,2,23,0,0,0,0,0,0,1937,1301,682,690,816,835,0,32973.166666666664
90000,1,2,2,35,0,0,0,0,0,0,3621,3597,1179,1112,1104,1143,0,59119.333333333336
360000,1,1,1,43,-1,-1,-1,-1,-1,0,8339,3394,12902,27000,0,68978,0,9743.333333333334
150000,1,1,2,27,0,0,0,0,0,0,4031,10006,3266,4040,1698,800,0,79901.83333333333
50000,2,3,1,22,0,0,0,0,0,0,1411,1194,379,281,321,197,0,13965.666666666666
20000,1,2,1,38,0,0,0,0,0,-1,1699,1460,626,1750,150,0,1,15536.166666666666
140000,1,1,2,32,-2,-2,-2,-2,-2,-2,10212,850,415,100,1430,0,0,2279.8333333333335
380000,2,1,2,30,-2,-2,-1,0,0,0,223,33178,1171,1197,1250,5000,0,22100.333333333332
480000,1,1,1,63,0,0,0,2,2,0,16078,55693,17000,0,18000,24200,0,460169.1666666667
50000,2,3,2,22,0,0,0,0,0,0,1767,1362,1002,840,995,904,1,34227.666666666664
60000,2,2,2,26,2,2,2,2,2,0,0,5000,2511,6,3000,3000,0,57006.333333333336
70000,2,2,2,24,-1,-1,-2,-2,-2,-1,0,0,0,0,26529,2000,0,5351.5
80000,2,2,1,36,-1,-1,-1,-1,-1,-1,2861,3279,3319,1150,1150,1035,0,2977.5
350000,1,1,2,52,-1,-1,-1,-1,-1,-1,2272,722,867,1150,5263,5011,0,1831.1666666666667
130000,1,2,2,38,0,0,0,-1,-1,-1,10908,0,133657,4566,133841,4796,0,113489.66666666667
360000,1,2,1,35,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,-103.0
330000,2,1,1,31,0,0,2,0,0,0,9260,0,3593,4100,15794,0,0,106596.66666666667
50000,1,3,1,47,0,0,2,0,0,0,2000,1000,1000,1000,1000,1000,0,15523.166666666666
280000,1,2,1,41,2,2,2,2,2,3,6500,0,14254,14850,0,5000,0,142501.33333333334
100000,2,1,2,24,0,0,0,0,0,0,2000,2677,3076,5080,3000,2033,0,55864.333333333336
50000,1,2,2,41,0,0,0,0,0,0,1340,1305,700,718,724,684,0,19851.666666666668
30000,1,1,2,24,-1,2,0,0,3,2,0,1312,3000,0,1000,1000,1,19610.0
240000,1,1,2,28,-1,-1,-1,-1,-1,-1,326,326,5676,476,326,526,0,1242.6666666666667
80000,1,2,2,26,2,0,0,0,0,0,2000,1700,1000,1000,1000,1000,1,16503.666666666668
400000,1,2,1,34,-1,-1,-1,-1,-1,-1,9677,11867,7839,14837,7959,5712,0,11971.333333333334
240000,2,2,2,38,0,0,0,0,-1,-1,2000,3000,3000,1307,1203,563,0,34950.5
50000,1,3,2,37,2,2,2,3,2,2,1000,4035,1000,1400,2800,0,1,48374.166666666664
450000,1,1,1,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,1,0.0
110000,2,1,1,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0.0
310000,2,2,1,35,2,0,0,0,0,0,13019,11128,8407,8599,6833,5987,1,271089.6666666667
20000,1,1,2,27,0,0,0,0,0,0,1404,1130,600,861,313,0,0,18683.333333333332
20000,1,2,2,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0.0
200000,1,3,2,52,0,0,0,0,0,0,3568,3585,3602,3848,3669,3784,0,102947.5
180000,1,1,1,36,0,0,0,0,0,0,4655,2690,2067,2142,2217,1000,1,111480.33333333333
50000,1,2,1,51,0,0,0,0,0,0,1000,1066,1300,1500,1200,134,1,5091.333333333333
60000,1,3,1,55,3,2,2,0,0,0,2504,7,1200,1200,1100,1500,0,44020.833333333336
30000,2,1,2,23,1,-2,-2,-2,-1,-1,5645,3508,27,13771,5911,3024,0,5462.666666666667
240000,1,1,2,41,1,-1,-1,0,0,-1,2622,3301,0,360,1737,924,0,1879.8333333333333
420000,1,2,1,34,0,0,0,0,0,0,9744,9553,7603,7830,7253,11326,0,224985.16666666666
330000,1,3,1,46,0,0,0,0,0,0,8210,8095,8025,8175,8391,8200,0,228219.5
30000,2,2,2,22,0,0,0,0,0,0,2000,1400,0,500,0,1560,0,20580.333333333332
240000,1,2,1,34,0,0,0,2,2,2,1500,1800,0,1000,0,327,0,12951.333333333334
150000,1,1,2,27,0,0,0,0,0,0,2500,3000,3000,3000,3500,5000,0,23471.5
210000,2,2,1,33,0,0,0,0,0,0,1500,1500,1000,500,2000,546,0,7209.333333333333
50000,2,3,1,51,-1,-1,-1,-1,-2,-2,300,5880,0,0,0,0,1,1155.3333333333333
50000,1,1,2,24,0,0,0,0,0,0,2360,1700,1000,900,870,2130,0,34721.666666666664
240000,1,1,2,47,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,1,0.0
180000,1,2,2,28,-1,-1,-1,-1,-1,-1,0,416,332,500,3500,832,0,638.0
50000,1,2,2,23,1,2,2,2,0,0,1000,10000,400,700,800,600,0,16581.166666666668
170000,1,2,2,29,-2,-2,-2,-2,-2,-2,10000,10000,10000,9983,15863,10000,0,11331.333333333334
20000,1,1,2,29,-1,-1,-1,-1,0,-1,15586,344,2340,4702,339,330,0,4418.333333333333
50000,1,1,2,28,0,0,0,0,0,3,1000,1500,2000,1583,1100,0,0,8030.666666666667
170000,2,2,2,27,0,0,0,0,0,0,1661,1200,351,358,182,0,1,17502.0
200000,1,1,2,34,1,2,0,0,0,0,8000,5000,55500,5000,5000,8500,0,132378.83333333334
80000,2,2,1,23,1,2,3,2,0,0,1650,0,0,379,2091,1,0,10325.0
260000,2,1,1,60,1,-2,-1,-1,-1,-1,0,22500,0,969,1000,0,0,3506.3333333333335
140000,1,2,1,32,0,0,0,0,2,0,3455,3110,5000,0,2100,2602,0,68553.83333333333
80000,1,1,2,25,0,0,0,0,0,0,30000,3000,6000,8000,2000,14000,0,42754.666666666664
350000,1,1,2,41,1,-1,-1,-1,-1,-2,2906,1000,630,0,0,0,0,790.6666666666666
280000,2,2,1,56,0,0,0,0,0,0,8042,6700,5137,100000,7000,6321,0,161936.83333333334
30000,2,3,2,26,0,0,0,0,0,0,1700,1500,1000,1500,1500,1500,0,11678.666666666666
140000,1,1,1,34,0,0,0,0,0,0,5000,5000,11885,5000,3000,5504,0,37163.333333333336
200000,2,1,2,37,0,0,0,0,0,0,4000,3250,3250,3500,3560,5000,0,95901.16666666667
200000,2,3,2,30,0,0,0,0,0,0,7300,7108,7680,6200,5000,4500,0,169693.33333333334
210000,1,3,1,45,2,3,4,4,5,6,10478,10478,11078,11078,11678,10478,1,134241.83333333334
50000,1,3,1,57,3,2,0,0,0,0,0,1600,500,500,600,600,0,13314.0
30000,1,1,2,41,2,2,2,2,2,0,3500,0,2200,0,1200,1250,0,27099.333333333332
50000,1,2,2,27,2,-1,-1,-1,-1,2,390,780,216,864,0,390,0,566.0
290000,1,3,1,47,-1,-1,-1,-1,0,-1,396,396,792,0,423,369,0,606.1666666666666
250000,2,1,1,34,0,0,2,0,0,0,17994,0,5469,5656,6811,3920,0,153157.0
60000,2,2,1,46,0,0,0,0,0,0,3000,1500,1500,1000,1500,1500,0,25050.666666666668
110000,2,1,2,27,0,0,0,0,0,0,5500,3900,3000,2900,3000,2800,0,89889.83333333333
370000,1,1,2,50,-2,-2,-2,-2,-2,-2,15383,8204,15413,4792,13453,4699,0,10511.666666666666
100000,1,2,1,27,-1,2,2,0,0,0,3166,0,1330,1398,12,50000,0,51681.5
90000,2,2,1,35,0,0,0,0,0,2,3500,3500,3652,10000,4000,0,0,78825.16666666667
50000,2,2,2,22,0,0,0,0,0,0,1510,1442,982,1017,1277,567,0,28559.833333333332
270000,1,2,2,37,0,0,0,0,0,0,5000,2000,3000,4000,3000,2000,0,30034.833333333332
300000,2,1,2,30,-1,-1,-1,-1,-1,-1,3288,0,4340,2672,800,746,0,1963.3333333333333
50000,2,2,2,22,-1,0,0,0,0,0,15000,1000,149,0,5000,10000,0,8964.5
50000,2,1,2,24,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,1,-1928.1666666666667
360000,1,1,2,29,1,-2,-1,-1,-2,-2,0,77,0,0,0,0,0,12.833333333333334
130000,1,3,1,56,1,2,2,2,2,3,3000,3000,3000,5500,0,0,1,68429.16666666667
80000,1,1,2,30,-2,-1,0,0,0,0,504,500,1000,500,3500,0,0,2604.0
50000,1,2,2,30,1,2,0,0,0,2,0,1500,1000,2000,0,2000,0,36747.166666666664
20000,2,2,2,22,0,0,0,0,0,0,1212,1201,500,1500,1500,1000,0,13985.666666666666
80000,2,2,1,29,0,0,2,0,0,0,5800,1000,600,400,1000,0,0,53926.5
240000,1,1,2,37,-1,-1,2,0,0,-1,15000,0,2000,0,1256,65935,0,19710.166666666668
80000,2,3,2,35,0,-1,0,0,0,0,12500,6500,3000,2000,3000,2000,0,21581.166666666668
500000,2,1,1,47,0,0,0,0,0,0,70010,30357,30000,20000,52183,20000,0,96540.5
60000,2,2,1,24,0,0,0,0,0,0,2500,1600,3000,1000,737,2000,1,37073.833333333336
20000,1,2,2,25,0,0,0,0,0,-1,1200,1593,601,135,1824,0,0,8484.0
100000,2,2,1,38,1,2,0,0,2,0,0,1600,1500,0,1000,1500,1,15391.833333333334
360000,2,1,2,32,1,-1,-1,-1,-1,-1,57087,5295,68454,13889,16250,38313,0,27257.666666666668
200000,2,3,2,47,2,2,2,2,2,2,8214,7000,6800,7134,0,6836,1,197097.0
130000,2,2,1,34,1,-1,0,0,0,0,5396,5000,3500,501,1000,2000,0,9623.666666666666
20000,2,2,2,31,1,5,4,4,3,2,0,1000,0,0,760,0,0,20965.333333333332
310000,1,1,2,32,0,0,0,0,0,0,10020,6031,10057,5028,5060,4223,0,58956.666666666664
60000,2,1,2,27,2,0,0,0,2,0,1342,1664,2000,0,900,846,1,21669.666666666668
180000,2,1,2,29,-1,-1,-1,-2,-1,0,199,0,0,17227,341,5114,0,7642.333333333333
180000,2,1,2,24,-1,-1,2,0,0,-2,37867,0,200,0,0,0,0,11373.166666666666
50000,1,2,1,36,0,0,0,0,-1,-1,2000,1000,2000,500,1000,20011,0,14145.0
50000,2,1,2,24,1,2,2,2,2,2,1900,1400,1700,1532,1600,0,1,38126.5
150000,2,2,1,34,-2,-2,-2,-2,-2,-2,0,0,116,0,1500,0,0,269.3333333333333
20000,2,1,2,22,0,0,0,0,-1,0,1500,1032,541,20000,693,1000,0,17251.833333333332
500000,2,1,1,34,-2,-2,-2,-1,-1,-1,138,2299,1251,1206,1151,15816,0,1076.1666666666667
30000,2,3,2,22,1,2,2,0,0,0,1000,85,1714,104,0,0,1,19642.333333333332
180000,2,1,1,38,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,125.0
140000,1,1,2,31,0,0,2,0,0,2,25000,0,3000,7800,0,2500,0,21812.0
140000,2,1,2,26,-1,0,-1,-1,-1,-1,10000,13001,5841,13506,487,7004,0,10706.0
120000,1,2,2,26,0,0,0,0,0,0,5000,5000,4152,5000,5000,5000,0,114815.66666666667
360000,2,2,1,48,0,0,0,0,0,0,9100,7300,5800,5600,5600,4100,0,200463.16666666666
20000,1,3,1,43,-1,-1,0,0,0,0,22359,1305,1258,1459,3457,1700,0,16490.166666666668
100000,1,1,1,47,-1,-1,-1,-1,-1,-1,1473,390,390,390,0,2380,0,505.5
210000,2,2,1,41,-1,-1,-1,-1,-1,-1,1586,343,3763,877,0,419,1,1609.5
80000,2,2,2,24,0,0,0,0,0,0,3200,3000,2038,2000,1800,1800,1,65234.5
330000,2,1,1,50,-1,-1,-1,-1,-2,-2,4345,2854,1702,0,1709,258,0,3243.6666666666665
220000,1,1,2,24,0,0,0,-1,-1,-1,5000,5050,8303,0,85632,0,0,69996.5
210000,2,1,1,38,1,-2,-1,0,-1,-1,0,250,0,789,1222,9616,1,397.3333333333333
40000,2,3,1,43,0,0,0,0,0,0,1700,1504,1200,1500,1500,1000,0,35990.833333333336
30000,1,2,2,39,0,0,0,2,0,0,3036,2309,0,1000,2000,148,0,17267.166666666668
470000,1,2,2,27,2,2,2,2,0,0,13000,11001,0,10484,10838,10367,0,333803.0
30000,1,3,1,42,-1,-1,-1,-1,-1,2,390,390,240,1470,0,0,0,585.0
240000,2,2,1,36,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,1,-946.0
80000,1,2,2,36,2,0,0,0,0,0,3100,3500,3400,3000,3500,3000,0,78468.16666666667
110000,2,3,2,31,0,0,0,0,0,0,4000,5000,3000,3000,3000,8954,0,75641.16666666667
310000,2,1,2,38,-1,-1,-1,-1,-2,-2,4542,126,0,0,0,0,0,1015.3333333333334
360000,2,1,1,40,2,2,2,0,0,0,12000,0,5900,5000,4500,4700,1,114260.83333333333
330000,2,3,2,45,0,0,0,0,0,0,12388,12378,12116,12450,12213,11678,0,334236.3333333333
300000,2,2,2,35,0,0,0,0,0,0,12019,9006,17000,12000,9557,15000,0,238552.5
320000,2,2,2,33,0,0,0,0,0,0,10042,18832,2117,2076,5045,3754,0,72878.0
50000,2,3,2,37,1,3,2,0,0,0,0,24,1500,1000,1201,30592,1,40661.333333333336
170000,2,1,2,28,0,0,0,0,0,0,6530,4860,22500,4820,4877,4962,0,128683.66666666667
350000,1,3,1,44,-1,-1,-1,-1,-1,-2,2686,1864,569,0,0,0,0,1397.3333333333333
20000,1,2,1,37,0,0,0,0,0,0,1609,3000,663,676,834,782,0,18076.833333333332
50000,1,2,2,23,2,0,0,0,0,0,2401,2254,2004,704,707,1004,1,33750.166666666664
20000,2,3,2,24,1,2,0,0,0,0,0,1333,500,100,0,3200,0,10652.0
50000,2,1,2,24,0,0,0,0,0,0,2090,2002,1002,238,1011,389,0,22155.0
20000,1,2,2,23,1,2,0,0,2,0,0,1200,1000,0,1000,10000,1,15776.0
50000,1,2,1,26,0,0,-2,-1,-1,0,0,0,2624,45567,1747,2000,0,32924.666666666664
190000,1,2,2,34,2,0,0,0,2,2,5000,5000,10000,0,12118,2769,1,138009.66666666666
60000,2,2,1,33,0,0,0,0,0,0,1506,1298,1000,721,811,599,0,29299.0
80000,1,1,2,35,-1,-1,-1,-1,-1,-1,3983,6853,1719,1378,19942,2418,0,6975.333333333333
150000,2,2,2,27,0,0,0,0,0,0,4500,1745,1566,1208,1077,2529,0,66630.0
210000,2,1,2,31,-2,-2,-2,-2,-1,-1,0,7422,893,6082,2293,3299,0,3021.6666666666665
240000,2,3,1,50,0,0,0,0,0,0,10116,9150,8008,8000,8009,7714,1,218871.16666666666
140000,2,2,3,41,0,0,0,0,0,0,3000,2000,2198,1000,3000,2399,1,19309.0
60000,2,1,2,28,1,2,2,-2,-2,-1,0,0,0,0,2285,0,0,7406.0
50000,1,1,2,39,0,0,0,0,0,0,1800,2000,3000,2000,2000,2000,0,40207.333333333336
50000,2,2,2,27,0,0,0,0,0,0,1800,1750,900,1200,1200,1100,0,28205.666666666668
180000,2,1,2,32,-1,-1,2,2,-1,-1,2821,0,0,2821,0,176,0,2439.0
30000,2,1,2,40,-1,-1,2,2,2,2,355,120,0,0,60,60,0,102.16666666666667
20000,2,2,2,40,0,0,0,0,0,-2,1601,2203,2114,0,0,0,0,13314.833333333334
250000,2,2,1,75,0,-1,-1,-1,-1,-1,1631,1536,1010,5572,794,1184,0,10569.5
100000,2,2,2,27,0,0,0,0,0,0,1788,1799,1100,1150,2423,0,0,32749.666666666668
330000,1,1,2,25,0,0,0,0,2,0,2504,4007,5056,74,1023,2566,0,42667.5
50000,1,3,1,46,0,0,0,0,0,0,1561,1268,587,611,1000,2000,0,19645.166666666668
50000,2,2,2,26,1,2,2,0,0,0,1710,136,1206,2002,2005,3003,0,40143.666666666664
30000,1,2,2,28,0,0,0,0,0,0,5006,1244,851,955,0,0,0,22526.666666666668
140000,2,2,2,26,0,0,0,0,0,0,5366,5087,3605,3894,3785,3304,1,105239.83333333333
160000,2,1,2,28,0,0,0,0,-1,0,7042,2000,1000,99669,12600,10000,0,56231.833333333336
400000,2,2,2,29,-1,0,-1,-1,-1,-1,3127,1469,4968,1905,2494,862,0,5671.666666666667
50000,1,2,1,25,0,0,0,0,0,0,1565,1393,980,994,1024,886,0,28925.333333333332
140000,2,2,1,48,0,-1,-1,-1,-1,-1,1233,1075,1355,1130,21361,1347,0,4515.833333333333
160000,2,2,1,33,-1,-1,-1,-1,0,-1,2453,9880,52572,1546,2210,0,0,13701.166666666666
100000,2,3,1,43,0,0,-2,-2,-2,-2,0,0,0,0,0,0,0,10361.666666666666
220000,1,1,1,48,2,0,0,0,0,0,10000,9020,6000,5500,6000,5500,1,188240.0
510000,2,1,2,29,0,0,0,0,0,0,40010,20094,5000,5001,25365,65000,0,85535.16666666667
50000,1,2,2,29,0,0,0,0,0,0,1602,1400,3000,3130,1062,6318,0,33700.166666666664
160000,2,1,1,38,-1,-1,-1,-1,2,-1,4664,5969,18941,0,12652,1916,0,10546.166666666666
230000,2,1,2,37,-2,-2,-2,-2,-2,-2,51315,0,0,299,338,0,0,8955.833333333334
80000,2,1,2,37,-1,-1,-1,-1,-1,-1,258,5995,188,1644,16872,4000,0,5842.333333333333
150000,2,2,1,25,-1,-1,-2,-1,-1,-1,0,0,316,316,316,316,0,1184.0
10000,1,3,2,23,0,0,0,0,0,2,1134,1298,478,847,0,175,0,8689.333333333334
130000,2,3,2,49,0,0,0,0,0,0,4100,3095,1630,561,600,0,1,59630.166666666664
40000,2,1,2,48,0,0,0,0,0,0,1600,1600,1500,1500,1500,1500,0,34662.5
50000,1,2,2,27,3,2,2,0,0,-1,1700,0,426,501,2614,1390,1,12286.166666666666
100000,1,3,2,32,0,0,0,0,0,0,2035,2004,616,2007,1009,2015,0,30034.833333333332
120000,1,1,1,34,-1,2,-1,0,0,0,0,1350,0,0,0,450,0,735.6666666666666
260000,2,1,2,58,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,1,0.0
200000,2,2,2,33,0,0,0,0,0,0,2000,1322,2000,2000,1200,3000,0,13478.5
