Appliances,Press_mm_hg,RH_3,RH_8,RH_9,T3,T4,T8,T_out,Tdewpoint,hour
80.0,735.9333333333329,48.19333333333329,50.2,45.2,20.2,18.963333333333296,18.533333333333296,6.0,4.1,20
140.0,735.9333333333329,47.6333333333333,50.26,45.2,20.1666666666667,19.033333333333296,18.6666666666667,6.0,4.06666666666667,20
120.0,735.9333333333329,47.3,50.23,45.1266666666667,20.1666666666667,19.175,18.73,6.0,4.03333333333333,20
175.0,735.9333333333329,47.0266666666667,50.29,45.1266666666667,20.2,19.26,18.8566666666667,6.0,4.0,20
110.0,735.9333333333329,46.8266666666667,50.1633333333333,45.06,20.26,19.323333333333295,18.89,6.0,3.9666666666666694,20
110.0,735.9333333333329,46.6333333333333,50.03,45.0,20.29,19.39,18.963333333333296,6.0,3.9333333333333296,20
110.0,735.9333333333329,46.433333333333294,49.76,44.9666666666667,20.29,19.39,19.0,6.0,3.9,21
110.0,735.9333333333329,46.223333333333294,49.7,44.9,20.39,19.39,19.066666666666695,5.93333333333333,3.86666666666667,21
100.0,735.9333333333329,46.09,49.6333333333333,44.79,20.39,19.39,19.1333333333333,5.86666666666667,3.8333333333333295,21
100.0,735.9333333333329,46.09,49.433333333333294,44.79,20.39,19.39,19.2,5.8,3.8,21
100.0,735.9333333333329,46.09,49.4,44.7,20.39,19.4266666666667,19.23,5.73333333333333,3.7666666666666706,21
100.0,735.9333333333329,46.06,49.3266666666667,44.7,20.39,19.566666666666695,19.29,5.66666666666667,3.7333333333333294,21
110.0,735.9333333333329,46.0,49.1633333333333,44.59,20.39,19.6666666666667,19.29,5.6,3.7,22
175.0,735.9333333333329,45.933333333333294,49.03,44.53,20.4266666666667,19.6,19.3566666666667,5.65,3.7166666666666694,22
175.0,735.966666666667,45.933333333333294,48.863333333333294,44.59,20.5,19.6966666666667,19.39,5.7,3.7333333333333294,22
175.0,736.0499999999998,45.79,48.863333333333294,44.5225,20.5,20.0966666666667,19.39,5.75,3.75,22
175.0,736.1333333333331,45.73,48.95,44.433333333333294,20.5,20.5966666666667,19.34,5.8,3.7666666666666706,22
60.0,736.216666666667,45.59,49.23,44.5,20.5,20.996666666666705,19.29,5.85,3.7833333333333297,22
60.0,736.2999999999998,45.545,49.43,44.5,20.4175,21.1666666666667,19.3566666666667,5.9,3.8,23
60.0,736.4,45.6633333333333,49.89,45.0666666666667,20.39,21.033333333333296,19.39,5.8,3.85,23
50.0,736.5,45.73,50.1633333333333,45.26,20.29,20.963333333333296,19.39,5.7,3.9,23
70.0,736.6,45.79,50.463333333333296,45.433333333333294,20.29,20.865,19.39,5.6,3.95,23
60.0,736.7,45.79,50.723333333333294,45.56,20.29,20.73,19.39,5.5,4.0,23
40.0,736.7999999999998,45.6566666666667,50.963333333333296,45.6266666666667,20.23,20.7,19.39,5.4,4.05,23
40.0,736.9,45.6633333333333,51.1633333333333,45.7,20.2,20.6333333333333,19.39,5.3,4.1,0
30.0,737.0,45.59,51.5,45.79,20.2,20.566666666666695,19.463333333333296,5.26666666666667,4.06666666666667,0
40.0,737.1,45.5,51.56,45.863333333333294,20.1666666666667,20.5,19.39,5.23333333333333,4.03333333333333,0
50.0,737.2,45.5,51.86,45.9,20.1,20.5,19.39,5.2,4.0,0
175.0,737.2999999999998,45.5,52.0,45.9666666666667,20.1,20.4266666666667,19.39,5.16666666666667,3.9666666666666694,0
175.0,737.4,45.5,52.09,46.03,20.1,20.46,19.3566666666667,5.133333333333329,3.9333333333333296,0
175.0,737.5,45.53,52.1633333333333,46.09,20.1,20.7933333333333,19.29,5.1,3.9,1
175.0,737.6333333333331,45.59,52.5,46.2,20.1,21.2633333333333,19.29,5.11666666666667,3.9166666666666705,1
120.0,737.766666666667,45.59,52.9,46.2,20.1,21.5966666666667,19.23,5.133333333333329,3.9333333333333296,1
50.0,737.9,45.53,53.5,46.29,20.1666666666667,21.89,19.29,5.15,3.95,1
40.0,738.033333333333,45.5,53.96,46.433333333333294,20.1333333333333,21.823333333333295,19.29,5.16666666666667,3.9666666666666694,1
50.0,738.1666666666669,45.5,54.463333333333296,46.6333333333333,20.2,21.6666666666667,19.29,5.18333333333333,3.9833333333333294,1
40.0,738.2999999999998,45.5,54.7225,46.8266666666667,20.1666666666667,21.533333333333296,19.2225,5.2,4.0,2
50.0,738.4,45.425,54.9666666666667,46.9666666666667,20.125,21.3566666666667,19.2,5.133333333333329,3.9333333333333296,2
50.0,738.5,45.4,54.9666666666667,47.23,20.1333333333333,21.23,19.2,5.06666666666667,3.86666666666667,2
50.0,738.6,45.5,54.9,47.363333333333294,20.2,21.066666666666695,19.2,5.0,3.8,2
40.0,738.7,45.5,54.863333333333294,47.53,20.2,20.9266666666667,19.2,4.93333333333333,3.7333333333333294,2
40.0,738.7999999999998,45.4,54.79,47.6633333333333,20.2,20.745,19.1333333333333,4.86666666666667,3.6666666666666705,2
30.0,738.9,45.4,54.9,47.8266666666667,20.2,20.6666666666667,19.2,4.8,3.6,3
20.0,739.016666666667,45.4666666666667,54.9666666666667,47.9,20.29,20.533333333333296,19.2,4.81666666666667,3.6333333333333298,3
20.0,739.1333333333331,45.4,55.09,48.03,20.29,20.39,19.2,4.8333333333333295,3.6666666666666705,3
40.0,739.25,45.4,55.03,48.09,20.2,20.39,19.2,4.85,3.7,3
50.0,739.366666666667,45.4,54.863333333333294,48.29,20.2,20.29,19.2,4.86666666666667,3.7333333333333294,3
50.0,739.483333333333,45.5,54.73,48.363333333333294,20.2,20.23,19.2,4.883333333333329,3.7666666666666706,3
40.0,739.6,45.5,54.56,48.463333333333296,20.26,20.1,19.1,4.9,3.8,4
50.0,739.65,45.5,54.5,48.59,20.29,20.033333333333296,19.1,4.91666666666667,3.7666666666666706,4
40.0,739.7,45.5,54.5,48.7666666666667,20.29,20.0,19.1,4.93333333333333,3.7333333333333294,4
40.0,739.75,45.5,54.5,48.9,20.29,19.9266666666667,19.1,4.95,3.7,4
40.0,739.7999999999998,45.56,54.4,49.045,20.29,19.8566666666667,19.1,4.96666666666667,3.6666666666666705,4
60.0,739.85,45.59,54.4,49.2,20.29,19.79,19.1,4.98333333333333,3.6333333333333298,4
50.0,739.9,45.59,54.29,49.26,20.29,19.76,19.1,5.0,3.6,5
50.0,739.966666666667,45.59,54.23,49.29,20.29,19.7,19.1,4.98333333333333,3.6833333333333296,5
40.0,740.033333333333,45.59,54.045,49.363333333333294,20.29,19.6666666666667,19.05,4.96666666666667,3.7666666666666706,5
40.0,740.1,45.59,54.0,49.433333333333294,20.3566666666667,19.6,19.0,4.95,3.85,5
40.0,740.1666666666669,45.59,54.0,49.56,20.39,19.6,19.066666666666695,4.93333333333333,3.9333333333333296,5
40.0,740.233333333333,45.59,53.9,49.6266666666667,20.323333333333295,19.6,19.1,4.91666666666667,4.01666666666667,5
50.0,740.2999999999998,45.59,53.8266666666667,49.7,20.323333333333295,19.5,19.033333333333296,4.9,4.1,6
70.0,740.4333333333329,45.59,53.79,49.8266666666667,20.323333333333295,19.5,19.0,4.93333333333333,4.1,6
40.0,740.5666666666668,45.59,53.79,49.9666666666667,20.29,19.4266666666667,19.0,4.96666666666667,4.1,6
30.0,740.7,45.59,53.76,50.0,20.29,19.39,19.0,5.0,4.1,6
20.0,740.8333333333329,45.5,53.7,50.0,20.29,19.39,19.0,5.03333333333333,4.1,6
30.0,740.966666666667,45.433333333333294,53.875,50.0,20.29,19.29,19.0,5.06666666666667,4.1,6
40.0,741.1,45.29,54.0,50.0,20.2,19.29,19.0,5.1,4.1,7
50.0,741.216666666667,45.29,54.06,50.09,20.2,19.29,19.0,5.1,4.05,7
60.0,741.3333333333329,45.29,53.8,49.963333333333296,20.1666666666667,19.29,18.9266666666667,5.1,4.0,7
60.0,741.45,45.29,53.15,49.723333333333294,20.1,19.26,18.9725,5.1,3.95,7
70.0,741.5666666666668,45.29,52.8,49.463333333333296,20.1,19.2,18.89,5.1,3.9,7
60.0,741.6833333333329,45.29,52.363333333333294,48.995,20.1,19.1666666666667,18.8566666666667,5.1,3.85,7
140.0,741.7999999999998,45.29,51.963333333333296,48.6333333333333,20.2,19.1666666666667,18.79,5.1,3.8,8
110.0,741.8833333333331,45.29,51.6333333333333,48.36,20.1333333333333,19.2,18.79,5.05,3.7333333333333294,8
90.0,741.966666666667,45.245,51.395,48.0266666666667,20.15,19.2,18.79,5.0,3.6666666666666705,8
60.0,742.0499999999998,45.2,51.045,47.7666666666667,20.1,19.1,18.7,4.95,3.6,8
60.0,742.1333333333331,45.2,50.76,47.4666666666667,20.1,19.1,18.7,4.9,3.53333333333333,8
60.0,742.216666666667,45.2,50.645,47.2666666666667,20.1,19.1,18.7,4.85,3.4666666666666694,8
50.0,742.2999999999998,45.2,50.42,46.93,20.1,19.1,18.7,4.8,3.4,9
60.0,742.3833333333331,45.1633333333333,50.1566666666667,46.79,20.1,19.1,18.6333333333333,4.883333333333329,3.4833333333333294,9
50.0,742.466666666667,45.09,50.0266666666667,46.59,20.1,19.1,18.6666666666667,4.96666666666667,3.56666666666667,9
30.0,742.5499999999998,45.1633333333333,49.8266666666667,46.39,20.1,19.033333333333296,18.6,5.05,3.65,9
40.0,742.6333333333331,44.963333333333296,49.6633333333333,46.1633333333333,20.033333333333296,19.0,18.6,5.133333333333329,3.7333333333333294,9
30.0,742.716666666667,44.9,49.59,46.03,20.0,19.066666666666695,18.6,5.21666666666667,3.8166666666666704,9
175.0,742.7999999999998,44.9,49.4666666666667,45.863333333333294,20.0,19.1,18.6,5.3,3.9,10
175.0,742.8833333333331,44.9,49.4,45.73,19.89,19.1666666666667,18.533333333333296,5.48333333333333,3.95,10
175.0,742.966666666667,44.9,49.26,45.6633333333333,19.89,19.36,18.5,5.66666666666667,4.0,10
50.0,743.0499999999998,44.863333333333294,49.2,45.463333333333296,19.89,19.6933333333333,18.5,5.85,4.05,10
60.0,743.1333333333331,44.863333333333294,49.09,45.29,19.963333333333296,20.0,18.5,6.03333333333333,4.1,10
60.0,743.216666666667,44.79,49.09,45.23,19.9266666666667,20.066666666666695,18.5,6.21666666666667,4.15,10
50.0,743.2999999999998,44.79,49.0,45.245,20.0,20.1333333333333,18.5,6.4,4.2,11
50.0,743.3333333333329,44.79,48.933333333333294,45.29,20.0,20.2,18.5,6.5,4.16666666666667,11
50.0,743.366666666667,44.79,48.59,45.23,19.9266666666667,20.2,18.4266666666667,6.6,4.133333333333329,11
60.0,743.4,44.79,48.463333333333296,45.2,19.945,20.1333333333333,18.5,6.7,4.1,11
60.0,743.4333333333329,44.76,48.19,45.1266666666667,19.89,20.1,18.5,6.8,4.06666666666667,11
60.0,743.466666666667,44.7,47.9666666666667,45.2,19.89,20.1,18.5,6.9,4.03333333333333,11
60.0,743.5,44.7,47.8266666666667,45.2,19.963333333333296,20.033333333333296,18.566666666666695,7.0,4.0,12
175.0,743.5,44.7,47.59,45.06,19.963333333333296,20.033333333333296,18.566666666666695,7.0833333333333295,4.01666666666667,12
175.0,743.5,44.79,47.545,45.0,20.0,20.0,18.55,7.16666666666667,4.03333333333333,12
170.0,743.5,44.79,47.3522222222222,44.863333333333294,20.0,20.0,18.6,7.25,4.05,12
175.0,743.5,44.79,47.2,44.79,19.963333333333296,20.0,18.6,7.3333333333333295,4.06666666666667,12
90.0,743.5,44.79,47.2,44.7,19.89,19.89,18.5,7.416666666666669,4.0833333333333295,12
60.0,743.5,44.79,47.1266666666667,44.6266666666667,19.89,19.89,18.5,7.5,4.1,13
175.0,743.5,44.79,47.23,44.56,19.89,19.8566666666667,18.5,7.416666666666669,4.06666666666667,13
130.0,743.5,44.79,47.29,44.5,19.89,19.8566666666667,18.5,7.3333333333333295,4.03333333333333,13
140.0,743.5,44.863333333333294,47.33,44.4,19.89,19.79,18.5,7.25,4.0,13
175.0,743.5,44.8266666666667,47.2825,44.3266666666667,19.89,19.73,18.5,7.16666666666667,3.9666666666666694,13
50.0,743.5,44.9,47.1371428571429,44.29,19.89,19.7,18.5,7.0833333333333295,3.9333333333333296,13
60.0,743.5,44.9,47.0113333333333,44.23,19.89,19.7,18.5,7.0,3.9,14
60.0,743.5499999999998,44.9,46.91666666666671,44.2,19.89,19.7,18.5,6.98333333333333,3.7333333333333294,14
60.0,743.6,44.9,46.863333333333294,44.2,19.89,19.7,18.5,6.96666666666667,3.56666666666667,14
175.0,743.65,44.9,46.79,44.1266666666667,19.89,19.6,18.5,6.95,3.4,14
175.0,743.7,44.9,47.0,44.0,19.945,19.6,18.5,6.93333333333333,3.2333333333333294,14
70.0,743.75,44.9,46.933333333333294,43.933333333333294,19.89,19.566666666666695,18.4266666666667,6.91666666666667,3.06666666666667,14
50.0,743.7999999999998,44.8266666666667,47.0,43.79,19.89,19.5,18.463333333333296,6.9,2.9,15
40.0,743.8166666666668,44.9,47.0,43.79,19.89,19.463333333333296,18.39,6.8,3.0,15
40.0,743.8333333333329,44.9,46.9,43.7,19.89,19.39,18.39,6.7,3.1,15
30.0,743.85,44.79,46.6725,43.76,19.89,19.445,18.4975,6.6,3.2,15
30.0,743.866666666667,44.79,46.53,43.79,19.89,19.533333333333296,18.6666666666667,6.5,3.3,15
30.0,743.8833333333331,44.76,46.223333333333294,43.79,19.89,19.6,18.79,6.4,3.4,15
30.0,743.9,44.7,45.980833333333294,43.79,19.89,19.6,18.79,6.3,3.5,16
40.0,743.95,44.7,45.8877777777778,43.73,19.89,19.533333333333296,18.78,6.3333333333333295,3.3,16
50.0,744.0,44.76,45.81,43.6633333333333,19.89,19.39,18.7163636363636,6.36666666666667,3.1,16
40.0,744.0499999999998,44.79,45.79,43.53,19.89,19.39,18.7,6.4,2.9,16
40.0,744.1,44.73,45.7245454545455,43.4,19.823333333333295,19.29,18.7,6.43333333333333,2.7,16
40.0,744.15,44.7,45.711875,43.3266666666667,19.79,19.29,18.63125,6.46666666666667,2.5,16
60.0,744.2,44.7,45.79,43.26,19.79,19.26,18.6,6.5,2.3,17
60.0,744.283333333333,44.6633333333333,45.808333333333294,43.2,19.79,19.2,18.6,6.31666666666667,2.43333333333333,17
175.0,744.366666666667,44.59,45.9,43.145,19.79,19.2,18.6,6.133333333333329,2.56666666666667,17
175.0,744.45,44.59,46.0,43.0,19.823333333333295,19.2,18.5363636363636,5.95,2.7,17
175.0,744.533333333333,44.59,46.0,43.0,19.89,19.36,18.5,5.76666666666667,2.8333333333333295,17
175.0,744.616666666667,44.59,46.1266666666667,42.93,19.89,19.6933333333333,18.5,5.5833333333333295,2.9666666666666694,17
80.0,744.7,44.4666666666667,46.33333333333329,42.863333333333294,19.79,20.163333333333295,18.5,5.4,3.1,18
90.0,744.75,44.4666666666667,46.6266666666667,42.8266666666667,19.79,20.29,18.6,5.3,3.15,18
70.0,744.7999999999998,44.4,46.83333333333329,42.8266666666667,19.79,20.2,18.6666666666667,5.2,3.2,18
40.0,744.85,44.4,47.0266666666667,42.7,19.79,20.2,18.7,5.1,3.25,18
40.0,744.9,44.4,46.9,42.76,19.89,20.1,18.76,5.0,3.3,18
30.0,744.95,44.3266666666667,46.7675,42.79,19.89,19.963333333333296,18.7,4.9,3.35,18
50.0,745.0,44.09,46.645,42.79,19.79,19.89,18.7,4.8,3.4,19
50.0,745.033333333333,44.09,46.5,42.79,19.79,19.8566666666667,18.6,4.75,3.4,19
60.0,745.0666666666668,44.1266666666667,46.56,42.79,19.79,19.79,18.533333333333296,4.7,3.4,19
50.0,745.1,44.2,46.9,42.79,19.79,19.76,18.5,4.65,3.4,19
60.0,745.1333333333331,44.2,47.1266666666667,42.863333333333294,19.79,19.7,18.5,4.6,3.4,19
60.0,745.1666666666669,44.2,47.26,42.9,19.79,19.6666666666667,18.5,4.55,3.4,19
60.0,745.2,44.29,47.3266666666667,42.9,19.79,19.6,18.5,4.5,3.4,20
50.0,745.3166666666668,44.29,47.4,42.9,19.79,19.6,18.5,4.53333333333333,3.4,20
50.0,745.4333333333329,44.29,47.4,42.9,19.79,19.533333333333296,18.39,4.56666666666667,3.4,20
50.0,745.5499999999998,44.29,47.4,42.845,19.79,19.5,18.39,4.6,3.4,20
50.0,745.6666666666669,44.29,47.4,42.8266666666667,19.79,19.5,18.39,4.633333333333329,3.4,20
50.0,745.783333333333,44.29,47.4,42.9,19.79,19.463333333333296,18.39,4.66666666666667,3.4,20
60.0,745.9,44.29,47.4,42.9,19.79,19.39,18.39,4.7,3.4,21
60.0,745.95,44.26,47.3266666666667,42.9,19.79,19.39,18.39,4.8,3.41666666666667,21
40.0,746.0,44.2,47.29,42.9,19.79,19.323333333333295,18.29,4.9,3.43333333333333,21
30.0,746.0499999999998,44.1633333333333,47.29,42.8266666666667,19.79,19.29,18.29,5.0,3.45,21
30.0,746.1,44.09,47.29,42.79,19.73,19.29,18.29,5.1,3.4666666666666694,21
30.0,746.15,44.0,47.4816666666667,42.79,19.7,19.29,18.29,5.2,3.4833333333333294,21
40.0,746.2,44.06,47.705454545454494,43.1966666666667,19.7,19.29,18.362727272727305,5.3,3.5,22
50.0,746.266666666667,44.1266666666667,48.3425,43.7966666666667,19.7,19.23,18.479375,5.3333333333333295,3.4,22
50.0,746.3333333333329,44.2,48.8417647058824,44.19333333333329,19.7,19.2,18.5588235294118,5.36666666666667,3.3,22
50.0,746.4,44.29,49.3227272727273,44.66,19.73,19.2,18.6,5.4,3.2,22
40.0,746.466666666667,44.29,49.664375,45.09666666666671,19.79,19.2,18.6,5.43333333333333,3.1,22
50.0,746.533333333333,44.433333333333294,50.0590909090909,45.43,19.79,19.2,18.6,5.46666666666667,3.0,22
40.0,746.6,44.5,50.39,45.7,19.79,19.1333333333333,18.6333333333333,5.5,2.9,23
40.0,746.733333333333,44.53,50.5671428571429,45.83333333333329,19.79,19.1333333333333,18.6142857142857,5.5833333333333295,2.86666666666667,23
40.0,746.866666666667,44.59,50.8828571428571,46.03,19.79,19.1,18.6,5.66666666666667,2.8333333333333295,23
40.0,747.0,44.59,51.25,46.1633333333333,19.79,19.1,18.625,5.75,2.8,23
50.0,747.1333333333331,44.59,51.465,46.29,19.79,19.1,18.7,5.8333333333333295,2.7666666666666706,23
50.0,747.266666666667,44.8266666666667,51.59,46.53,19.89,19.033333333333296,18.7,5.91666666666667,2.7333333333333294,23
50.0,747.4,44.9,51.63125,46.6633333333333,19.89,19.0,18.7,6.0,2.7,0
30.0,747.533333333333,44.845,51.7942857142857,46.8266666666667,19.89,19.0,18.7257142857143,5.883333333333329,2.8333333333333295,0
20.0,747.6666666666669,44.863333333333294,51.925,46.9666666666667,19.89,18.963333333333296,18.79,5.76666666666667,2.9666666666666694,0
30.0,747.7999999999998,44.79,52.1855555555556,47.1266666666667,19.89,18.89,18.75,5.65,3.1,0
20.0,747.9333333333329,44.79,52.25,47.26,19.89,18.89,18.815,5.53333333333333,3.2333333333333294,0
40.0,748.0666666666668,44.73,52.3214285714286,47.433333333333294,19.823333333333295,18.89,18.875714285714295,5.41666666666667,3.36666666666667,0
50.0,748.2,44.7,52.29,47.56,19.79,18.89,18.7514285714286,5.3,3.5,1
60.0,748.3166666666668,44.76,52.433333333333294,47.7666666666667,19.79,18.89,18.7,5.3,3.56666666666667,1
50.0,748.4333333333329,44.79,52.6333333333333,47.9666666666667,19.79,18.89,18.7,5.3,3.6333333333333298,1
40.0,748.5499999999998,44.863333333333294,53.1733333333333,48.1566666666667,19.8566666666667,18.79,18.7,5.3,3.7,1
40.0,748.6666666666669,44.9,53.4666666666667,48.363333333333294,19.89,18.79,18.7,5.3,3.7666666666666706,1
50.0,748.783333333333,44.9,54.00625,48.6566666666667,19.89,18.79,18.7,5.3,3.8333333333333295,1
40.0,748.9,44.9,54.55714285714289,48.79,19.89,18.79,18.7,5.3,3.9,2
40.0,749.0833333333329,44.9666666666667,54.8477777777778,48.963333333333296,19.89,18.79,18.705,5.3333333333333295,3.8833333333333298,2
50.0,749.266666666667,45.0,55.0,49.09,19.89,18.79,18.75,5.36666666666667,3.86666666666667,2
50.0,749.45,45.0,54.9444444444444,49.23,19.89,18.76,18.705,5.4,3.85,2
50.0,749.6333333333331,45.0,54.9611111111111,49.3175,19.89,18.7,18.73,5.43333333333333,3.8333333333333295,2
40.0,749.8166666666668,45.0,54.8816666666667,49.4666666666667,19.963333333333296,18.7,18.765,5.46666666666667,3.8166666666666704,2
30.0,750.0,45.03,54.765,49.53,19.89,18.7,18.74,5.5,3.8,3
20.0,750.2,45.0675,54.6572222222222,49.59,19.89,18.7,18.725,5.48333333333333,3.7833333333333297,3
20.0,750.4,45.0,54.545,49.59,19.89,18.7,18.71,5.46666666666667,3.7666666666666706,3
20.0,750.6,45.0,54.4327777777778,49.6633333333333,19.89,18.7,18.73,5.45,3.75,3
50.0,750.7999999999998,44.933333333333294,54.2922222222222,49.7,19.823333333333295,18.7,18.715,5.43333333333333,3.7333333333333294,3
50.0,751.0,44.933333333333294,54.205,49.76,19.79,18.6333333333333,18.725,5.41666666666667,3.7166666666666694,3
50.0,751.2,45.0,54.1492307692308,49.79,19.79,18.6333333333333,18.7,5.4,3.7,4
40.0,751.3166666666668,45.03,54.09,49.79,19.823333333333295,18.6,18.724545454545495,5.36666666666667,3.6833333333333296,4
40.0,751.4333333333329,45.03,54.09,49.9,19.823333333333295,18.6,18.74,5.3333333333333295,3.6666666666666705,4
50.0,751.5499999999998,45.06,54.015,49.9,19.89,18.6,18.725,5.3,3.65,4
40.0,751.6666666666669,45.06,53.9277777777778,49.9666666666667,19.89,18.533333333333296,18.7,5.26666666666667,3.6333333333333298,4
50.0,751.783333333333,45.06,53.8572222222222,49.9666666666667,19.89,18.6,18.7,5.23333333333333,3.61666666666667,4
50.0,751.9,45.06,53.784375,50.0,19.89,18.566666666666695,18.7,5.2,3.6,5
50.0,752.0499999999998,45.09,53.7257142857143,50.06,19.89,18.5,18.7,5.16666666666667,3.56666666666667,5
40.0,752.2,45.09,53.6633333333333,50.1266666666667,19.89,18.5,18.7,5.133333333333329,3.53333333333333,5
40.0,752.35,45.09,53.59,50.2,19.963333333333296,18.5,18.7,5.1,3.5,5
50.0,752.5,45.09,53.5,50.2,19.89,18.5,18.7,5.06666666666667,3.4666666666666694,5
20.0,752.65,45.09,53.42,50.2,19.9266666666667,18.5,18.7,5.03333333333333,3.43333333333333,5
20.0,752.7999999999998,45.03,53.3870588235294,50.26,19.9266666666667,18.463333333333296,18.7,5.0,3.4,6
50.0,752.983333333333,45.06,53.2984615384615,50.3266666666667,19.89,18.463333333333296,18.7,5.01666666666667,3.4,6
30.0,753.1666666666669,44.82,53.29,50.3266666666667,19.815,18.39,18.7,5.03333333333333,3.4,6
50.0,753.35,44.6266666666667,53.2536363636364,50.29,19.73,18.39,18.6818181818182,5.05,3.4,6
50.0,753.533333333333,44.59,53.1645454545455,50.29,19.7,18.39,18.6272727272727,5.06666666666667,3.4,6
175.0,753.716666666667,44.53,53.2642857142857,50.3266666666667,19.7,18.39,18.6428571428571,5.0833333333333295,3.4,6
110.0,753.9,44.223333333333294,53.14,50.4,19.6,18.39,18.6,5.1,3.4,7
80.0,753.966666666667,43.83,52.8266666666667,50.223333333333294,19.533333333333296,18.39,18.6,5.0833333333333295,3.4,7
50.0,754.033333333333,43.9,52.3,49.963333333333296,19.5,18.39,18.6,5.06666666666667,3.4,7
50.0,754.1,43.9666666666667,51.895,49.6,19.5,18.39,18.55,5.05,3.4,7
50.0,754.1666666666669,44.0,51.4975,49.19333333333329,19.5,18.323333333333295,18.5,5.03333333333333,3.4,7
40.0,754.233333333333,44.0,51.0666666666667,48.7966666666667,19.5,18.29,18.5,5.01666666666667,3.4,7
40.0,754.2999999999998,43.9,50.9,48.463333333333296,19.5,18.29,18.5,5.0,3.4,8
30.0,754.45,43.9,50.56,48.1,19.5,18.29,18.39,5.0,3.36666666666667,8
175.0,754.6,43.9666666666667,50.2925,47.8,19.5,18.29,18.39,5.0,3.3333333333333295,8
175.0,754.75,43.7666666666667,50.03,47.4,19.4266666666667,18.23,18.39,5.0,3.3,8
175.0,754.9,43.59,49.76,47.0666666666667,19.39,18.496666666666705,18.29,5.0,3.2666666666666706,8
175.0,755.0499999999998,43.59,49.6266666666667,46.723333333333294,19.39,18.823333333333295,18.29,5.0,3.2333333333333294,8
175.0,755.2,43.59,49.363333333333294,46.42,19.39,19.03,18.29,5.0,3.2,9
175.0,755.3166666666668,43.6633333333333,49.23,46.1566666666667,19.463333333333296,19.46,18.29,5.0,3.18333333333333,9
175.0,755.4333333333329,43.7,49.1333333333333,45.863333333333294,19.5,19.726666666666695,18.26,5.0,3.16666666666667,9
60.0,755.5499999999998,43.7,48.933333333333294,45.73,19.5,20.066666666666695,18.2,5.0,3.15,9
70.0,755.6666666666669,43.6266666666667,49.1633333333333,45.4666666666667,19.4266666666667,20.2,18.26,5.0,3.13333333333333,9
110.0,755.783333333333,43.6633333333333,49.223333333333294,45.5266666666667,19.463333333333296,20.1666666666667,18.26,5.0,3.11666666666667,9
90.0,755.9,43.59,49.5266666666667,46.3,19.39,20.1,18.26,5.0,3.1,10
60.0,756.033333333333,43.6266666666667,49.2666666666667,47.1,19.39,20.1,18.2,5.0833333333333295,2.9833333333333294,10
70.0,756.1666666666669,43.76,48.995,47.06,19.463333333333296,20.1,18.15,5.16666666666667,2.86666666666667,10
80.0,756.2999999999998,43.8266666666667,48.6633333333333,46.86,19.5,20.05,18.1,5.25,2.75,10
60.0,756.4333333333329,43.9,48.463333333333296,46.5266666666667,19.5,20.0,18.1,5.3333333333333295,2.63333333333333,10
40.0,756.5666666666668,44.0,48.1633333333333,46.19333333333329,19.5,19.9266666666667,18.1,5.41666666666667,2.5166666666666706,10
30.0,756.7,44.0,47.89,45.863333333333294,19.5,19.8566666666667,18.033333333333296,5.5,2.4,11
